milliseconds,x,y,pressure,azimuth,altitude,time,Speed_x,Speed_Ax,Speed_y,Speed_Ay,Speed_abs,Speed_A_abs,Strokes_Number,PerStrokes_Time
0,531,600,0,0,9,21:02:15:23:24:39:980,0.0,0.0,0.0,0.5,0.0,0.5,1,0
2,531,599,0,0,9,21:02:15:23:24:39:982,0.017823786227825322,0.03564757245565065,0.7506418340515065,-0.24871633189698691,0.7508534147113567,0.25125796141470425,1,2
10,532,598,0,0,9,21:02:15:23:24:39:990,0.3634288043884134,0.009087015417829702,0.28524832615160123,0.12195128825534392,0.4620033586798714,0.12228937221337698,1,10
16,534,596,0,0,9,21:02:15:23:24:39:996,0.8014369005252393,0.11839716477592716,0.6192050384863212,-0.029150902662289105,1.0127763747295593,0.12193302978686414,1,16
25,545,593,0,0,9,21:02:15:23:24:40:05,3.35045006856896,0.1918773663942824,0.7122134294521029,0.01586881670406773,3.4253121946861538,0.1925324468186934,1,25
33,563,590,0,0,9,21:02:15:23:24:40:13,4.28159039728495,-0.17784228421528483,0.7620978742795234,-0.0033977054972125944,4.348886006795771,0.17787473810959198,1,33
41,579,587,0,0,9,21:02:15:23:24:40:21,4.933902628005525,0.3319917704668569,0.7929665020012322,-0.0022779947152173534,4.99721832782358,0.33199958571908,1,41
48,599,585,0,0,9,21:02:15:23:24:40:28,4.335302912434317,-0.484879671060898,0.35854791400873287,-0.06288468575429491,4.350104360725325,0.4889404658141327,1,48
57,613,586,0,0,9,21:02:15:23:24:40:37,4.622463806016517,0.5980759190174363,-0.46586077386917024,-0.03918849708982467,4.645879668971495,0.5993584430144537,1,57
64,639,589,0,0,9,21:02:15:23:24:40:44,6.693552703151971,-0.2603044880898467,-0.835880617209178,-0.012109689442694483,6.7455425427536255,0.2605860147784521,1,64
73,680,601,0,0,9,21:02:15:23:24:40:53,13.08585209168767,1.0212034703746762,-4.6546975440419,-0.5296379874196036,13.889050874413135,1.1503794702719492,1,73
80,742,627,0,0,9,21:02:15:23:24:40:60,16.28979795602758,-0.6466066928081716,-6.65830052737616,0.39595550238532523,17.59802498466967,0.7582090576177104,1,80
88,796,646,0,0,9,21:02:15:23:24:40:68,14.756830859177528,-0.04913508140434115,-5.058887621455647,-0.016935609238530432,15.59988464614054,0.05197182972429803,1,88
94,829,657,0,0,9,21:02:15:23:24:40:74,9.258743525857968,-0.15856069636884582,-3.0397512627064467,0.09275883993270846,9.744968928464692,0.1837000185591584,1,94
102,868,674,0,0,9,21:02:15:23:24:40:82,9.86675573375945,0.12306374834421616,-5.54153283431794,-0.5307042328355819,11.316424119990325,0.5447858927194537,1,102
110,910,711,0,0,9,21:02:15:23:24:40:90,10.524233539104237,-0.05244429700801882,-9.544117400021792,0.15505809140961901,14.207380776589513,0.1636869451124892,1,110
118,949,747,0,0,9,21:02:15:23:24:40:98,9.85773868125217,-0.1945365603121408,-9.424854708452035,0.004221867197105851,13.638287949126378,0.19458236677743745,1,118
