milliseconds,x,y,pressure,azimuth,altitude,time,Speed_x,Speed_Ax,Speed_y,Speed_Ay,Speed_abs,Speed_A_abs,Strokes_Number,PerStrokes_Time
0,594,511,0,0,9,21:03:11:19:56:55:934,0.0,0.06944444444444445,0.0,0.08333333333333333,0.0,0.10847568994314798,1,0
12,599,505,0,0,9,21:03:11:19:56:55:946,1.3323175223733523,-0.0023227306374540256,1.3070727186942865,-0.10002337948285688,1.8664161037608793,0.10005034493086848,1,12
19,604,503,0,0,9,21:03:11:19:56:55:953,1.539923083912956,0.08714880944468778,0.5573649622299974,0.059290551105304866,1.6376870291632757,0.10540533401112712,1,19
27,613,500,0,0,9,21:03:11:19:56:55:961,2.482272880109622,-0.01673993182409264,0.7016792996902144,-0.06785482388310778,2.5795411396101957,0.06988921548910706,1,27
34,621,499,0,0,9,21:03:11:19:56:55:968,1.8940440011650792,-0.012549951955980899,0.2198475699247343,0.02406616639909307,1.9067605073399316,0.027141880171540535,1,34
44,633,499,0,0,9,21:03:11:19:56:55:978,3.1889474717354602,0.0886735032129142,-0.3600259718449338,-0.12004087475302672,3.2092062379801756,0.1492407510820103,1,44
51,646,504,0,0,9,21:03:11:19:56:55:985,4.478414461950547,0.15049393616826715,-1.835995470865015,-0.06356945830032985,4.840152421364916,0.16336921635368104,1,51
57,660,510,0,0,9,21:03:11:19:56:55:991,3.325022600927438,-0.27940233428708117,-1.4039673500356469,0.12980105413234147,3.609279653427313,0.3080811225293379,1,57
67,682,519,0,0,9,21:03:11:19:56:56:01,7.813633136247197,0.7237911080176996,-3.2410705705904137,-0.3172216982432948,8.459160787655444,0.7902551321452138,1,67
73,712,532,0,0,9,21:03:11:19:56:56:07,8.820408022500125,-0.5945486856159301,-3.923336621232145,0.20884730041033675,9.65360906225676,0.6301629427825121,1,73
80,735,544,0,0,9,21:03:11:19:56:56:14,5.7436757832269345,0.11854355602767165,-3.2414351661147456,-0.11605912956046757,6.595203820880206,0.16589845156004057,1,80
88,760,560,0,0,9,21:03:11:19:56:56:22,6.288474209435445,-0.04484394947554394,-4.052893149528638,0.03819463370699433,7.481366904799611,0.05890509187308517,1,88
96,784,577,0,0,9,21:03:11:19:56:56:30,4.352427379031286,-0.032917758125495876,-3.4844922357707,-0.13046940526750975,5.57542018424508,0.1345579596711631,1,96
112,825,628,0,0,9,21:03:11:19:56:56:46,8.103130164084252,-0.0428872508857404,-10.960474572032807,-0.02612660105096797,13.630580372833352,0.050218677511588074,1,112
119,839,652,0,0,9,21:03:11:19:56:56:53,3.4081307642173004,-0.1250717613211439,-5.8447506093988535,0.263272223028016,6.7658306949016005,0.2914707685139053,1,119
