milliseconds,x,y,pressure,azimuth,altitude,time,Speed_x,Speed_Ax,Speed_y,Speed_Ay,Speed_abs,Speed_A_abs,Strokes_Number,PerStrokes_Time
0,677,686,0,0,9,21:04:13:16:24:47:985,0.0,0.0,0.0,0.03305785123966942,0.0,0.03305785123966942,1,0
11,677,684,0,0,9,21:04:13:16:24:47:996,0.00790771080297306,0.0028755312010811133,1.0662519386329703,0.14309987851116282,1.0662812614543644,0.14312876688352327,1,11
16,677,679,0,0,9,21:04:13:16:24:48:01,-0.023004249608648886,-0.0152403153657299,2.024032140741866,0.11429791661810981,2.024162864558126,0.11530950071736192,1,16
23,676,668,0,0,9,21:04:13:16:24:48:08,-0.44033293668518725,-0.07225042062439216,2.9169723754322483,-0.004296851831288671,2.9500204972448336,0.07237807828383978,1,23
32,672,652,0,0,9,21:04:13:16:24:48:17,-0.8497627893754164,0.06768576200187208,3.96316886015408,0.06394545337441183,4.0532461327067315,0.09311489346518713,1,32
40,669,634,0,0,9,21:04:13:16:24:48:25,-1.0712174692566554,-0.15429943197218188,4.817880466194192,0.08723244813561626,4.93553229682232,0.17725071146449867,1,40
48,660,610,0,0,9,21:04:13:16:24:48:33,-2.4903673335979617,-0.01298803411314466,6.51530927506915,0.1496247540831232,6.975040100677122,0.1501874031487305,1,48
56,649,580,0,0,9,21:04:13:16:24:48:41,-2.717313196351498,0.018751568424760515,7.370882433529207,-0.12323146446810909,7.855806696703747,0.12464997053085616,1,56
64,636,550,0,0,9,21:04:13:16:24:48:49,-4.122522738138903,-0.2495182395858974,8.78687527652831,0.34330110378931317,9.705893614280797,0.42439957557590235,1,64
71,617,515,0,0,9,21:04:13:16:24:48:56,-5.453069256600126,0.114260050637793,9.796124155109357,-0.2590259139906461,11.211601704466426,0.28310737060422964,1,71
78,600,486,0,0,9,21:04:13:16:24:48:63,-4.636628806889167,0.03737599621839912,7.885770960177119,-0.0418913253777486,9.147880100288111,0.05614132377511408,1,78
85,586,462,0,0,9,21:04:13:16:24:48:70,-3.2702567856844755,0.10358290326412052,5.61317295656312,-0.18565368245754357,6.496328969857277,0.21259517317820406,1,85
94,570,438,0,0,9,21:04:13:16:24:48:79,-4.655768223478321,-0.2492168382941463,6.3710004198374675,0.18474761609522927,7.890869666920096,0.3102268752738887,1,94
101,549,415,0,0,9,21:04:13:16:24:48:86,-6.012633190442417,-0.0415200910425339,6.200668218277476,-0.07525069409196136,8.637131713477926,0.08594524373985016,1,101
109,522,391,0,0,9,21:04:13:16:24:48:94,-6.558653254945032,0.09251507491688012,5.649666339812892,-0.09374977552418466,8.656480940302236,0.13171203247126267,1,109
117,501,373,0,0,9,21:04:13:16:24:48:102,-4.21108712311079,0.23395979137501344,3.825666422470954,-0.11225020381129996,5.689374160173614,0.2594943009700178,1,117
126,485,358,0,0,9,21:04:13:16:24:48:111,-4.916359100680265,-0.4012689080835739,3.996650215066085,0.11850057041974182,6.335913489657939,0.41840067134791725,1,126
133,463,345,0,0,9,21:04:13:16:24:48:118,-5.512840620346962,0.36349867797472174,3.074090430541591,-0.23412989661041372,6.3120078961052375,0.43237494998689907,1,133
141,448,337,0,0,9,21:04:13:16:24:48:126,-3.428313471204963,-0.06111689068922204,2.0383387253584733,0.13144197031463437,3.9885032300527765,0.14495608261715523,1,141
149,435,327,0,0,9,21:04:13:16:24:48:134,-3.690572161499852,0.06846888478216649,2.814221334691182,-0.10413798464812378,4.641138287087416,0.12463028536389723,1,149
155,427,322,0,0,9,21:04:13:16:24:48:140,-2.1575956646801284,0.053634391935519145,1.14230461789534,-0.10594536539493483,2.441327280868238,0.11874791975844941,1,155
163,420,320,0,0,9,21:04:13:16:24:48:148,-1.3993462383818196,0.10467796463905808,0.38917222578905947,0.011412267368364712,1.4524547897263305,0.10529822471182948,1,163
171,418,319,0,0,9,21:04:13:16:24:48:156,-0.3700193817925932,-0.003596250491751489,0.1760064789484222,-0.03345370407852402,0.4097470238256701,0.03364644608532791,1,171
179,417,319,0,0,9,21:04:13:16:24:48:164,-0.13339674726832051,0.0034570373279478694,0.03180185841725151,0.028652548945731382,0.13713515370086216,0.02886034767937416,1,179
257,415,323,0,0,9,21:04:13:16:24:48:242,-0.19281728603965068,3.886337138567255E-4,-1.7793437240086252,-0.06369616786833221,1.789760485083012,0.06369735345580932,1,257
266,415,335,0,0,9,21:04:13:16:24:48:251,-0.060558724077498405,-0.020380558216094472,-2.5435686854641433,0.12843629989056274,2.5442894915350505,0.13004326311954104,1,266
274,418,347,0,0,9,21:04:13:16:24:48:259,1.7026396810193747,0.3674301594903127,-4.426607828633964,-0.599196085683018,4.742766993212428,0.7028804103123996,1,274
282,429,369,0,0,9,21:04:13:16:24:48:267,0.0,0.34375,0.0,-0.6875,0.0,0.7686483672655527,1,282
506,529,519,0,0,9,21:04:13:16:24:48:491,0.0,0.08,0.0,0.0,0.0,0.08,2,0
511,530,519,0,0,9,21:04:13:16:24:48:496,0.374014022525598,-0.040788781979521585,0.08461012366665344,0.06768809893332277,0.38346494242976753,0.07902786516527088,2,5
519,531,517,0,0,9,21:04:13:16:24:48:504,0.16512708286689026,-0.01143295293515536,0.560027356933402,-0.011333790616635624,0.5838643626818997,0.016098671453235368,2,13
527,531,515,0,0,9,21:04:13:16:24:48:512,-0.034522353993159074,-0.007229406279856971,0.4252804485997384,-0.022352936466780278,0.4266793326216114,0.023492936892758873,2,21
535,531,514,0,0,9,21:04:13:16:24:48:520,0.09796233310574604,0.040350578054583246,0.23885084866764428,0.006995536483756739,0.2581595371408445,0.04095249296483166,2,29
543,533,512,0,0,9,21:04:13:16:24:48:528,0.6148952437923971,0.03332709406152399,0.7165383789519066,0.08812079053175331,0.9442051733333903,0.09421236077355673,2,37
552,537,505,0,0,9,21:04:13:16:24:48:537,0.9694439383446969,-0.032139906206868324,1.9481574624810745,0.012732832968555558,2.1760374648001757,0.03457019824055726,2,46
559,541,497,0,0,9,21:04:13:16:24:48:544,1.697411318844169,0.21291970199583318,2.821024921552668,0.14141977438523315,3.292322401187578,0.2556058529947322,2,53
565,549,487,0,0,9,21:04:13:16:24:48:550,2.299751589657496,-0.12325072283583538,2.850357500405631,-0.10386447032313445,3.662430238823781,0.161178686168678,2,59
573,558,476,0,0,9,21:04:13:16:24:48:558,2.3934997120283503,0.11543775342854903,2.7147428804812757,0.03871081534204564,3.619208446415261,0.12175550148176649,2,67
581,570,465,0,0,9,21:04:13:16:24:48:566,2.834582895562437,-0.05725029087836073,2.512893199891488,-0.05097879104504811,3.788072389207473,0.07665789549727797,2,75
590,585,452,0,0,9,21:04:13:16:24:48:575,4.397984327351559,0.22477865138176364,3.838538794840375,0.20447322660688189,5.837520554407029,0.3038663234319225,2,84
597,605,435,0,0,9,21:04:13:16:24:48:582,5.774448922603566,0.06645613093513592,4.732266117195163,-0.025653175321840565,7.465829020524838,0.07123554409816085,2,91
605,634,415,0,0,9,21:04:13:16:24:48:590,7.685277631052326,0.13000104617705427,4.888080466897037,-0.029143237252690822,9.10806362061737,0.13322762583148895,2,99
613,666,397,0,0,9,21:04:13:16:24:48:598,7.359440553187131,-0.305210315643353,4.340412015216689,-0.04527387566739615,8.544035446891165,0.30854993209051595,2,107
621,690,380,0,0,9,21:04:13:16:24:48:606,6.50196015619915,0.34084021639635786,4.500271472236206,0.11648873992227543,7.9074603506198065,0.3601967235300671,2,115
629,718,363,0,0,9,21:04:13:16:24:48:614,4.678173367470815,-0.6831505499420782,2.703956641293031,-0.42068108402170556,5.403395929793218,0.8022887562092849,2,123
640,753,349,0,0,9,21:04:13:16:24:48:625,20.704011592770108,1.9385371143215633,8.481590255290895,0.9036668099827496,22.373946216351833,2.1388173945118765,2,134
643,783,336,0,0,9,21:04:13:16:24:48:628,12.767504476310778,-1.9517640808500032,5.639652607777419,-0.7705141305472887,13.957609110769164,2.0983505552384,2,137
651,818,320,0,0,9,21:04:13:16:24:48:636,7.272047370778456,0.4216498044669225,3.052751306634317,0.030038805261513084,7.886822142219475,0.42271844935906583,2,145
659,846,312,0,0,9,21:04:13:16:24:48:644,6.13041715168651,-0.39108513701768693,1.663231054574203,-0.09964109049876371,6.352035263960061,0.4035789034525043,2,153
668,867,307,0,0,9,21:04:13:16:24:48:653,5.721271035428795,0.3248551358739972,1.2806529568261893,0.053424440911021644,5.862850352572896,0.3292188180987965,2,162
