milliseconds,x,y,pressure,azimuth,altitude,time,Speed_x,Speed_Ax,Speed_y,Speed_Ay,Speed_abs,Speed_A_abs,Strokes_Number,PerStrokes_Time
0,586,586,0,0,9,21:03:11:19:59:00:378,0.0,0.0,0.0,0.013888888888888888,0.0,0.013888888888888888,1,0
12,586,585,0,0,9,21:03:11:19:59:00:390,-0.06052723243125471,-0.02017574414375157,0.17318257803805845,-0.0047724739873138446,0.18345503863806886,0.020732514553563276,1,12
28,586,583,0,0,9,21:03:11:19:59:00:406,0.282460418012522,0.06304920044922366,0.44181463582239383,0.01491398121035577,0.5243892258339059,0.06478910797988524,1,28
36,589,581,0,0,9,21:03:11:19:59:00:414,0.6412156955113949,-0.05669371440783878,0.5289370257360114,0.01381106071249307,0.8312231621920914,0.05835171506786888,1,36
45,591,578,0,0,9,21:03:11:19:59:00:423,0.591737942860104,0.056280668845118044,0.7529920483376313,-0.009876434878623398,0.9576799141049213,0.05714068298126589,1,45
52,594,576,0,0,9,21:03:11:19:59:00:430,0.8516846304647361,-0.007520390753998626,0.49286913968563356,-0.013423988001539225,0.9840155987708277,0.01538699876383621,1,52
60,600,574,0,0,9,21:03:11:19:59:00:438,2.3267123020865226,0.22002730865944517,0.6512910059682231,0.032196121238853286,2.416147783380782,0.2223704269428507,1,60
66,609,572,0,0,9,21:03:11:19:59:00:444,2.1864934698486196,-0.2667669194054128,0.48971851323588267,-0.049016581779263074,2.240664614773175,0.27123276826072695,1,66
75,619,572,0,0,9,21:03:11:19:59:00:453,3.06988844005136,0.48327893298582,-0.31441796402063693,-0.08029769711724749,3.0859477783105556,0.48990432456781385,1,75
86,633,572,0,0,9,21:03:11:19:59:00:464,-1.8887201024338198,-1.4509598250079192,1.070473262186135,0.33209610188211514,2.170985175074451,1.4884798401968056,1,86
97,651,575,0,0,9,21:03:11:19:59:00:475,37.21226469695665,5.518907474483873,-7.785656902905721,-1.3968470409897253,38.018010169998774,5.692936093777596,1,97
98,671,580,0,0,9,21:03:11:19:59:00:476,21.038239091066984,-6.311403130707655,-5.28581822924925,1.5076354994137784,21.69210405667377,6.4889732837636975,1,98
107,693,588,0,0,9,21:03:11:19:59:00:485,0.5470581282727043,1.7084246451484317,-0.8793899555301699,-0.45435514229101975,1.0356636952199245,1.7678103301759602,1,107
116,716,600,0,0,9,21:03:11:19:59:00:494,7.0592426815564915,-0.44822137581199917,-3.688685440693564,0.01348877345400453,7.964879629818241,0.44842429544360646,1,116
123,736,613,0,0,9,21:03:11:19:59:00:501,5.093146595086157,0.1109694327388426,-3.2948398257018887,0.07352834103341276,6.065979864462869,0.133118863943118,1,123
131,760,629,0,0,9,21:03:11:19:59:00:509,5.551647260690496,0.08320118820769666,-4.408979167275328,-0.39467681279040884,7.089420611347597,0.4033512418148331,1,131
142,781,652,0,0,9,21:03:11:19:59:00:520,0.43909894347667766,-0.9631686508416144,-0.2840464678293677,1.260367055664881,0.5229629796158373,1.5862594254942717,1,142
153,794,667,0,0,9,21:03:11:19:59:00:531,24.782866056311892,3.3727792002827277,-29.63665314322538,-4.2500971949930815,38.633167867739594,5.425768673722448,1,153
154,806,682,0,0,9,21:03:11:19:59:00:532,12.747878287234851,-5.4427547384368,-16.101645116052698,6.320113249338451,20.537073215759285,8.340708041122149,1,154
