milliseconds,x,y,pressure,azimuth,altitude,time,Speed_x,Speed_Ax,Speed_y,Speed_Ay,Speed_abs,Speed_A_abs,Strokes_Number,PerStrokes_Time
0,564,646,0,0,9,21:02:16:01:00:50:939,0.0,0.04938271604938271,0.0,0.07407407407407407,0.0,0.08902595741886392,1,0
9,566,643,0,0,9,21:02:16:01:00:50:948,1.100877786627954,0.23001975701983143,1.381585750178679,0.22514922230163514,1.7665534484378462,0.32187149753044836,1,9
17,570,635,0,0,9,21:02:16:01:00:50:956,-0.8718346013352329,-0.7231978540106284,0.5862316104361018,-0.4552377572372795,1.0506012912422438,0.8545504968461527,1,17
33,580,627,0,0,9,21:02:16:01:00:50:972,19.904252034755494,2.1014586835219693,12.969438837026033,1.0656386605610209,23.756800980149396,2.356207621036859,1,33
34,590,622,0,0,9,21:02:16:01:00:50:973,10.569338017299454,-3.628429575576903,5.242588709953141,-1.9479103432782332,11.798120295439427,4.118234559902035,1,34
41,603,619,0,0,9,21:02:16:01:00:50:980,1.6143989084916774,1.013753095509375,-0.5782055041467508,0.38176505761703977,1.7148193609720872,1.0832543089562032,1,41
49,619,619,0,0,9,21:02:16:01:00:50:988,3.566189800979145,-0.5195553723875082,0.37935077782534227,-0.048625987124016494,3.5863096226126885,0.521825901619024,1,49
59,639,622,0,0,9,21:02:16:01:00:50:998,9.665397259979251,1.0593968641875293,-2.1655716200306028,-0.3103584924471724,9.905029259658772,1.1039221483802433,1,59
63,662,629,0,0,9,21:02:16:01:00:51:02,8.675411751666438,-0.4918896183439364,-2.67313977504445,0.11907441494024885,9.077909743871484,0.506096940247524,1,63
71,700,643,0,0,9,21:02:16:01:00:51:10,9.36673497004287,0.1959704229380445,-3.8800181096720956,-0.2020439985971603,10.138553374639176,0.28147146220468844,1,71
79,739,663,0,0,9,21:02:16:01:00:51:18,9.482648368162081,-0.19824207340824154,-4.931787786267168,0.1266015794483923,10.688458768362302,0.2352187908905796,1,79
87,771,681,0,0,9,21:02:16:01:00:51:26,7.577671557308802,-0.059252129305078435,-4.642830745259234,-0.11686231919640885,8.886899547062026,0.1310252512882501,1,87
95,797,702,0,0,9,21:02:16:01:00:51:34,6.0816654026027095,-0.12724940937144474,-5.246889232695897,0.05959769733724311,8.032216424461863,0.14051440393526624,1,95
103,816,722,0,0,9,21:02:16:01:00:51:42,4.34566683228036,-0.08800023320914263,-4.9946123239571785,-0.02777847015256359,6.620496392552944,0.0922804662367955,1,103
111,830,745,0,0,9,21:02:16:01:00:51:50,3.4106672682758505,0.010500342208015193,-6.3996614714753886,-0.22973381672698878,7.251780344465405,0.22997365878385964,1,111
119,843,776,0,0,9,21:02:16:01:00:51:58,3.1366640946162385,-0.04775113562291815,-7.531741790141268,0.19671373706051878,8.158786431560461,0.20242644417563938,1,119
127,853,802,0,0,9,21:02:16:01:00:51:66,2.346247781830624,-0.10074579971634263,-6.937657082245253,-0.08837113151508633,7.32365785960628,0.1340118391999084,1,127
134,857,825,0,0,9,21:02:16:01:00:51:73,0.8029718782030936,-0.09529221356499261,-6.3868154466352625,0.12330547638324652,6.437093706523449,0.15583596013826695,1,134
141,857,843,0,0,9,21:02:16:01:00:51:80,-0.12956386607157022,-0.0078812643910338,-4.193652559785122,0.20739412394128362,4.1956535352175734,0.2075438194063458,1,141
149,855,855,0,0,9,21:02:16:01:00:51:88,-0.7093472102927244,-0.07456457166425473,-2.9422713761948898,-0.08204882804372553,3.0265713796185016,0.11086877617626444,1,149
157,850,868,0,0,9,21:02:16:01:00:51:96,-1.2830472927575323,0.02488955104805273,-3.287261935435318,0.027051188233618528,3.528781856053784,0.036759441456913955,1,157
165,845,880,0,0,9,21:02:16:01:00:51:104,-1.2834636186771462,-0.024993632527956198,-2.7836808820638383,0.06759407510925144,3.065315336737078,0.0720669179084109,1,165
173,839,889,0,0,9,21:02:16:01:00:51:112,-1.5830982325338827,-0.018665020936227943,-2.2030145363093294,-0.016177488670624292,2.712834875373382,0.024700083931800815,1,173
181,832,897,0,0,9,21:02:16:01:00:51:120,-1.7591434511873227,0.005903716272867986,-1.7792609726988438,0.09086587957324574,2.502070201018445,0.09105746502319359,1,181
189,825,901,0,0,9,21:02:16:01:00:51:128,-1.7553279627168268,-0.004949844155244001,-0.8049415728952953,0.02771397037764136,1.9310896386420693,0.02815253294561585,1,189
197,818,903,0,0,9,21:02:16:01:00:51:136,-1.7195446979453706,0.013895660348108017,-0.5009727357199747,-0.014221761083811185,1.79103535703983,0.01988335647809463,1,197
205,811,905,0,0,9,21:02:16:01:00:51:144,-1.8664932455016907,-0.05063279723718807,-0.4411674842248059,0.029173073957603372,1.9179222571941437,0.05843584858798575,1,205
213,803,906,0,0,9,21:02:16:01:00:51:152,-1.814482320047866,0.09488552860064425,-0.23435732738080162,-0.008720534746602301,1.8295544393822663,0.09528541999744965,1,213
221,795,906,0,0,9,21:02:16:01:00:51:160,-3.083910807640178,-0.32890931716538896,0.2535967937480126,0.09945906502880582,3.0943201520332653,0.3436181667703363,1,221
227,782,903,0,0,9,21:02:16:01:00:51:166,-3.6371170998901428,0.24172944197095636,1.0694292174175575,0.04748507619437578,3.7910815936061852,0.2463492552795231,1,227
