milliseconds,x,y,pressure,azimuth,altitude,time,Speed_x,Speed_Ax,Speed_y,Speed_Ay,Speed_abs,Speed_A_abs,Strokes_Number,PerStrokes_Time
0,524,667,0,0,9,21:02:16:01:00:35:405,0.0,8.0,0.0,16.0,0.0,17.88854381999832,1,0
1,528,659,0,0,9,21:02:16:01:00:35:406,6.138651141071939,-2.6453954357122393,12.046825998654649,-6.212696005381397,13.520689866779927,6.752459453159946,1,1
6,534,654,0,0,9,21:02:16:01:00:35:411,0.20285297380338507,0.3244095021381508,-1.8063564283002527,1.089200812377213,1.8177108887396045,1.136485782911825,1,6
15,539,650,0,0,9,21:02:16:01:00:35:420,1.7594512927715513,0.03076049466958989,1.6557536453474928,-0.3074973392209238,2.416027521721761,0.3090320722194798,1,15
23,548,647,0,0,9,21:02:16:01:00:35:428,2.2687697214928235,-0.06860945891784329,0.472053494760138,0.029429444431227966,2.317358528816351,0.0746548729322471,1,23
30,554,646,0,0,9,21:02:16:01:00:35:435,1.5954508060839474,0.029293850433674596,0.36360424068471164,0.026319748281915526,1.6363591654883787,0.03938094492078488,1,30
38,561,644,0,0,9,21:02:16:01:00:35:443,1.516922986097407,-0.03642580543030968,0.3675125255029146,-0.044092677077364806,1.56080774029097,0.0571926872344319,1,38
48,569,644,0,0,9,21:02:16:01:00:35:453,1.9482830549567347,0.06269781920217521,-0.11456166561900502,-0.012322161147019107,1.9516483385745875,0.06389720015808015,1,48
56,579,646,0,0,9,21:02:16:01:00:35:461,2.8526426132778298,0.10089207037809861,-0.7215880241739135,-0.07693442849170802,2.9424919975625725,0.12687835178833676,1,56
64,592,651,0,0,9,21:02:16:01:00:35:469,2.566146491931946,-0.18501610071456967,-1.1240862376853407,0.03880987511385123,2.801549158556426,0.18904275688313613,1,64
74,609,663,0,0,9,21:02:16:01:00:35:479,6.892787519708957,0.6303443062699718,-4.945876900198575,-0.423168007616498,8.48364415235419,0.7592134792777909,1,74
79,629,678,0,0,9,21:02:16:01:00:35:484,6.7718975282404905,-0.6520336361906919,-5.3503261805616065,0.3013882954712855,8.630445317096484,0.7183194048410096,1,79
85,642,691,0,0,9,21:02:16:01:00:35:490,3.203972518757762,0.032169744140893755,-3.3285125252906442,0.08088292295236843,4.620003845449878,0.08704561828954595,1,85
93,657,706,0,0,9,21:02:16:01:00:35:498,4.481233128778044,0.15768112264989093,-4.6843637840853285,-0.29038145193675374,6.4826471765867435,0.33043111849374474,1,93
100,674,726,0,0,9,21:02:16:01:00:35:505,3.9459672734867546,-0.23805186588504393,-4.694302429415784,0.31021757594664606,6.132465492952034,0.3910289442964089,1,100
109,687,741,0,0,9,21:02:16:01:00:35:514,2.9154099606203006,0.06768110500114063,-3.3268186773727826,-0.08349279154202831,4.423498361093904,0.10747919898127274,1,109
117,699,756,0,0,9,21:02:16:01:00:35:522,3.1484556587548367,0.021830319532493387,-4.262391479086322,-0.15040040888635656,5.2991276787913915,0.15197646477028606,1,117
125,711,776,0,0,9,21:02:16:01:00:35:530,2.8300531186460676,-0.1550023831311142,-4.980758263424788,0.21634442708745452,5.7286257979582365,0.26614028238529325,1,125
