milliseconds,x,y,pressure,azimuth,altitude,time,Speed_x,Speed_Ax,Speed_y,Speed_Ay,Speed_abs,Speed_A_abs,Strokes_Number,PerStrokes_Time
0,677,724,0,0,9,21:02:16:13:42:05:88,0.0,0.0,0.0,0.02,0.0,0.02,1,0
10,677,723,0,0,9,21:02:16:13:42:05:98,-0.3566734861880543,-0.14266939447522167,-0.5869615243981059,-0.32145127642590904,0.6868331725195634,0.3516894642092262,1,10
25,678,722,0,0,9,21:02:16:13:42:05:113,2.9833674309402713,0.4546748500923318,4.918140955323863,0.9310204959443937,5.752268394679535,1.0361121479719408,1,25
26,680,718,0,0,9,21:02:16:13:42:05:114,2.0559277130732916,-0.8095542858262909,4.198207841380078,-1.370886723831964,4.674589590628031,1.592076804453369,1,26
34,682,712,0,0,9,21:02:16:13:42:05:122,0.6620760028728667,0.4521627868476131,1.1942740697105578,0.5306175666288697,1.365516454372898,0.6971414403296816,1,34
41,690,703,0,0,9,21:02:16:13:42:05:129,1.7599449069542872,-0.24732949452503025,2.0757189488064114,-0.24816392770352402,2.721399498410391,0.35036725571212685,1,41
53,697,695,0,0,9,21:02:16:13:42:05:141,2.4474204865749396,0.23968653557291675,2.4375456686083217,0.16680171433717575,3.4541997517019634,0.29201446409513326,1,53
58,703,690,0,0,9,21:02:16:13:42:05:146,1.6559426879178285,-0.2962776550357611,1.5329043769404176,-0.13865823100433738,2.2565331848904,0.3271185624490632,1,58
66,706,686,0,0,9,21:02:16:13:42:05:154,0.8732252443073871,0.19434829413315072,0.7388241701365145,-0.02861182069663838,1.143845916928327,0.19644311063522246,1,66
74,713,684,0,0,9,21:02:16:13:42:05:162,1.551156334852623,-0.10611552149684175,0.5867989425135245,0.06560551379089088,1.6584387158072538,0.12475811533649207,1,74
84,720,679,0,0,9,21:02:16:13:42:05:172,2.0949316044456294,0.12153724208210975,1.23170787935183,-0.0632903930898965,2.430193969081999,0.1370291030051608,1,84
90,727,677,0,0,9,21:02:16:13:42:05:178,2.6788583981957452,-0.004672755276515657,0.7931220872326965,0.061539573494629816,2.793801167377561,0.061716721784093084,1,90
95,733,675,0,0,9,21:02:16:13:42:05:183,1.8039650917997987,-0.08528456728186296,0.5099068917980326,-0.11482565166849538,1.8746453239840828,0.14303282035095738,1,95
103,740,675,0,0,9,21:02:16:13:42:05:191,1.7332080855278544,0.03634531571387689,-0.06051117692208355,0.03472113448846634,1.734264071666027,0.05026469093217975,1,103
