milliseconds,x,y,pressure,azimuth,altitude,time,Speed_x,Speed_Ax,Speed_y,Speed_Ay,Speed_abs,Speed_A_abs,Strokes_Number,PerStrokes_Time
0,707,658,0,0,9,21:02:16:14:28:49:255,0.0,0.0,0.0,0.02,0.0,0.02,1,0
10,707,657,0,0,9,21:02:16:14:28:49:265,0.0010804375440801371,4.3217501763205497E-4,0.33696202815271037,0.008118144594417497,0.3369637603097322,0.008129640022887562,1,10
16,707,656,0,0,9,21:02:16:14:28:49:271,-0.0034574001410564393,-0.0019447875793442472,0.26005484324466,-0.01986498400821208,0.2600778251038332,0.01995995461856798,1,16
24,707,655,0,0,9,21:02:16:14:28:49:279,0.014693950599489868,0.006482625264480824,0.3093502495435283,0.03218883558292916,0.3096990298287411,0.032835127021294305,1,24
32,707,653,0,0,9,21:02:16:14:28:49:287,-0.05531840225690304,-0.02398571347857905,0.5025441585812267,-0.015140358323504566,0.505579624740129,0.028364500722568742,1,32
40,707,651,0,0,9,21:02:16:14:28:49:295,0.20657965842812231,0.08946022864983538,0.6388064494648982,0.028372597711089118,0.6713783100117469,0.0938516745239856,1,40
46,709,649,0,0,9,21:02:16:14:28:49:301,0.5684599971942492,-0.052166782394459765,0.5539359746036028,-0.02888497822040981,0.7937202481795013,0.05962981764339437,1,46
54,711,647,0,0,9,21:02:16:14:28:49:309,0.5717471351893406,0.05298856689323264,0.5076679636744337,0.017317975488117518,0.7646054851611805,0.05574675323644983,1,54
62,714,645,0,0,9,21:02:16:14:28:49:317,0.6445514620483881,-0.06603748517847079,0.41539217069866263,-0.04038692373206027,0.7668097826100431,0.07740835263223214,1,62
70,716,644,0,0,9,21:02:16:14:28:49:325,0.725047016617107,0.1174113738206505,0.3307633535309158,0.05047971944012357,0.7969300925077337,0.12780310159462532,1,70
78,722,642,0,0,9,21:02:16:14:28:49:333,1.580260471483184,-0.028608010104131238,0.3865544151776741,-0.06778195402843401,1.626852013437488,0.0735718120888076,1,78
86,729,642,0,0,9,21:02:16:14:28:49:341,1.9539110974501568,0.09077066659587443,-0.00198101424161215,0.033148096673612445,1.9539121016965686,0.09663389792067043,1,86
94,739,642,0,0,9,21:02:16:14:28:49:349,2.4790951387161884,-0.0532246562793665,-0.12863035821122554,-0.06481043266601579,2.4824299538677392,0.08386451107836301,1,94
102,751,646,0,0,9,21:02:16:14:28:49:357,3.7547083476850887,0.3096279585215916,-1.4834975529134855,-0.14890636600954926,4.037152432801664,0.3435732506124688,1,102
110,776,657,0,0,9,21:02:16:14:28:49:365,6.404849248321233,0.03346282219300021,-2.784601652357054,0.004185896704212719,6.983988849936024,0.033723614876502876,1,110
119,815,677,0,0,9,21:02:16:14:28:49:374,11.166702930473157,0.4039155974739176,-6.417887198708818,-0.4482669881333526,12.87961685892823,0.6033996209253525,1,119
126,856,705,0,0,9,21:02:16:14:28:49:381,10.092175262180687,-0.5833724822921745,-6.8095768584013445,0.5200291261803858,12.17465968777144,0.7815073545218043,1,126
134,901,737,0,0,9,21:02:16:14:28:49:389,18.274139404807325,1.6601135179488338,-13.860962787918854,-1.5578756085597631,22.936225940516085,2.276610046587229,1,134
139,955,783,0,0,9,21:02:16:14:28:49:394,15.701437395513272,-1.4891943216664554,-13.894496513873992,1.0289065626221514,20.96645343541151,1.810068629165907,1,139
148,1007,838,0,0,9,21:02:16:14:28:49:403,11.13183298980584,0.36261556484258184,-12.271642059607247,-0.27629693080978807,16.568370606431134,0.4558838030035872,1,148
156,1049,888,0,0,9,21:02:16:14:28:49:411,8.535871761017992,-0.2616058720395437,-11.018194824213019,-0.08742459367498827,13.937780451164345,0.2758272862948967,1,156
168,1092,964,0,0,9,21:02:16:14:28:49:423,7.622891710201277,-0.20305746976324218,-14.272396122857364,0.4339465994564864,16.18053673748832,0.4791054030236961,1,168
176,1104,991,0,0,9,21:02:16:14:28:49:431,2.3164464586504145,-0.15480384312447357,-5.690994152111218,0.18015389323005002,6.1443745519912865,0.23752821956990897,1,176
184,1107,1005,0,0,9,21:02:16:14:28:49:439,0.4863224551970657,-0.021477157738863564,-3.088627268697764,0.0641878276233135,3.1266800180658576,0.06768563746867007,1,184
192,1107,1015,0,0,9,21:02:16:14:28:49:447,-0.1367362794386771,-0.04053752592007215,-2.579496773097726,-0.06190520372330407,2.583118350470283,0.07399692733988554,1,192
